Aim,0.5,0.2

[Pattern]
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
0.1,2,0,0,0,0,0,1,1,indicator
0,2,-5000,0,0,1000,0,1,3,basic
